15  S..Z...GK..Q.AT rack=AGKQSTZ   score=1821 unchallenged game=1079 player=Aaron_Green
15  QQQQQ........QQ rack=ADEGIOW   score=1750 unchallenged game=16697 player=New_Player_1
15  .......QQQQ.QQQ rack=ADEGIOW   score=1199 unchallenged game=16697 player=New_Player_1
15  ...QQ.QQQQ..Q.. rack=ADEGIOW   score=1063 unchallenged game=16697 player=New_Player_1
 8  DENTA.ES        rack=ADEENST   score= 140 challenged   game=10431 player=Matt_Canik
 8  PRI.TENE        rack=EEINPRT   score=  62 unchallenged game=10437 player=Matthew_Tunnicliffe
 8  UNSNARE.        rack=AENNRSU   score=  74 unchallenged game=10449 player=Matt_Canik
 8  PORKCH..        rack=??CHPRS   score=  45 unchallenged game=10453 player=Sam_DO
 8  POINT.LY        rack=ILNOPTY   score=  63 unchallenged game=10455 player=Mike_Early
 8  RETWINE.        rack=EEINRTW   score=  66 unchallenged game=10467 player=Chris_Canik
 8  SPITLE.S        rack=EILPSST   score=  67 challenged   game=10483 player=Ben_Withers
 8  P.ENOMIC        rack=CEIMNOP   score=  70 unchallenged game=10507 player=Joey_Krafchick
 8  COGNAT.D        rack=?ACDGNT   score=  74 challenged   game=10516 player=Ryan_Fischer
 8  HAR.EMED        rack=ADEEHMR   score=  66 challenged   game=10523 player=Joey
 8  FLYST.NE        rack=?EFNSTY   score=  86 unchallenged game=10527 player=Joey
 8  TELL.RID        rack=?DILLRT   score=  70 challenged   game=10552 player=dacrON
 8  CORIAN.H        rack=ACHINOR   score=  76 unchallenged game=10577 player=Matt_Canik
 8  .AUNINES        rack=AEINNSU   score=  61 challenged   game=10584 player=David
 8  DOTINES.        rack=DEINOST   score=  70 unchallenged game=10586 player=Trip
 8  T.AZELER        rack=?AELRTZ   score=  88 unchallenged game=10592 player=Mike
 8  OUTRULE.        rack=?LORTUU   score=  77 unchallenged game=10605 player=Noah
 8  THIST.ED        rack=DEHISTT   score=  78 unchallenged game=10615 player=cesar
 8  B.ROUGES        rack=BEGORSU   score=  63 challenged   game=10621 player=Matthew_Tunnicliffe
 8  OVERIN.S        rack=?EINORV   score=  72 challenged   game=1063 player=Richard
 8  EST..IER        rack=EEIRST    score=  54 challenged   game=10638 player=mike_b
 8  BRAIZI.G        rack=?ABIIRZ   score=  86 unchallenged game=10642 player=Jackson_Smylie
